Aircraft type Id,Short name,Manufacturer,Model name,ICAO code,IATA code,Handling category,Fuel type,Fuel process,Max fuel capacity in liter,MTOW kg,MTOW ton,Wing span in meter,Wing area in m2,Length in meter,Height in meter,Number of seats,Range in km,De-ice category,Noise chapter,Noise category,Hanger category,Ground power type,Remarks,Export values,Number of engines,MTOW in US Pounds
6874bad0-c67f-4271-b655-f2a24feebb90,ATR42-400,ATR,ATR-42-400,AT44,,B06,Jet Fuel,Pressure,,17000,17,,,,,52,,B,,,,115V/AC - 220V/DC,,,2,37479
618792b0-0af2-4f16-a593-d13d20554245,ATR42-500,ATR,ATR-42-500,AT45,,B07,Jet Fuel,Pressure,,18600,19,,,,,68,,B,,,,115V/AC - 220V/DC,,,2,41006
fb5502cc-91d1-409d-89f2-91f441823a30,ATR42-600,ATR,ATR-42-600,AT46,,B07,,,,18600,19,,,,,50,,,,,,,,,,41006
b87b6bdc-7a70-4374-9adc-91a59d58aaf6,ATR72-200,ATR,ATR-72-200,AT72,,B08,Jet Fuel,Pressure,,21500,22,,,,,66,,B,,,,115V/AC - 220V/DC,,JP Handling Category(Japan): 6,2,47399
86b1895e-5884-4c1c-8f0d-2c6077a97814,ATR72-500,ATR,ATR-72-500,AT75,,B08,,,,22500,23,,,,,74,,,,,,,,JP Handling Category(Japan): 6,,49604
10d0e995-08d9-4faa-a411-84d9cbf69f64,ATR72-600,ATR,ATR-72-600,AT76,,C_JP6,,,,23000,23,,,,,72,,,,,,,,JP Handling Category(Japan): 6,,50706
e60b782a-61e0-4dc5-aa0a-6198e4e525af,Aviat Husky A-1C,Aviat Aircraft,Husky A-1C,A1C,HUSK,T01,,,,1020,2,,,,,2,,,,,,,,,1,2249
82d870a2-6921-4881-8ec7-b7b05cf8f4fb,AW-101,Agusta-Westland,AW-101 Merlin,EH10,,B05,,,,15600,16,,,19.5,6.6,,833,,,,,,,,3,34392
bb83eb2c-de9a-40a9-8fc4-e66dbb0c36fc,AW109SP,Agusta-Westland,AW109SP Grand New,A109SP,,B00,,,,3175,4,,,,,7,,,,,,,,,,7000
d7997839-279d-47b1-b9f2-f67733261e81,AW119,Agusta-Westland,AW-119 Koala,AW119,,H01,,,,2720,3,,,13,3.77,7,991,,,,,,,,1,5997
f365613d-b38a-4d5d-a83b-c159321fbcc0,AW139,Agusta-Westland,AW-139,A139,,H02,Jet Fuel,,1562,6400,7,,0,16.65,4.95,15,568,A,,,,,,,2,14110
613fd29e-8d19-41a5-b7b8-56515d7ac18f,AW169,Agusta-Westland,AW169,A169,,B00,,,,4850,5,,,,,,,,,,,,,,,10692
2f82ae9c-7f66-44c1-990a-e42294cdd57c,AW189,Agusta-Westland,AW-189,A189,,H02,,,,8600,9,,,,,,,,,,,,,,2,18960
9701f7e4-601b-4ec8-9323-640eada95188,B105,Eurocopter,BO-105,B105,MBH,H01,Jet Fuel,Overwing,,2500,3,,,,,4,,A,,,,115V/AC - 220V/DC,,,2,5512
673dfe50-296d-4b32-8631-250237971d96,B18,Beech,18,BE18,,P03,Jet Fuel,Overwing,,5000,5,,,,,9,,A,,,,115V/AC - 220V/DC,ADP GA : 4,,2,11023
dd3b32ee-2ebd-4bb6-9d8d-66fc72143009,B19,Beech,19 Sport,BE19,,P02,Jet Fuel,Overwing,,5000,5,,,,,3,,A,,,,115V/AC - 220V/DC,ADP GA : 4,,1,11023
b7de2bdb-f310-46fa-806e-d09b335a5b5e,B1900,Beech,1900 (CJ12),B190,,T02,Jet Fuel,Overwing,,7530,8,,,,,19,,A,,,,115V/AC - 220V/DC,,,2,16601
54b374ec-5210-4a5f-b228-456b68d14d94,B1900D,Raytheon,Beechcraft 1900D,B190,BEH,B02,Jet Fuel,Pressure,,7688,8,,,,,19,,A,,,,115V/AC - 220V/DC,,,2,16949
